FILIAL;REFERÊNCIA_COR;DESCRIÇÃO_PRODUTO;CATEGORIA;SUB CATEGORIA;VALOR_VENDA;QTDE_ESTOQUE;STATUS_REFERÊNCIA;MOTIVO_STATUS;STATUS_DESATIVADO
LOJA 01;29.16923_0024;KIMONO FAIXA AMARRACAO                  ;COLETE / KIMONO;KIMONO;895;5;COM FOTO;DESATIVADO;FALTA DE PADRÃO NO TAMANHO
LOJA 01;29.16854_04312;SHORT COS AMARRACAO                     ;BERMUDA /SHORT;SHORT;516;4;COM FOTO;ATIVO NO SITE;0
LOJA 01;29.15618_0005;BLUSA VISCOSE ALCAS PREGAS CROPPED      ;BLUSA;BLUSA;636;4;COM FOTO;ATIVO NO SITE;0
LOJA 01;29.15033_04065;VESTIDO MIDI LISTRA AMARANTO            ;VESTIDO;VESTIDO;1116;4;COM FOTO;ATIVO NO SITE;0
LOJA 01;29.06715_2440;CALCA RETA POCHETE                      ;CALÇA;CALÇA;956;4;COM FOTO;DESATIVADO;FALTA DE PADRÃO NO TAMANHO
LOJA 01;29.14393_27248;MACACAO ESTAMPA PINGO LARANJA           ;MACACAO;MACACAO;756;4;COM FOTO;ATIVO NO SITE;0
LOJA 01;29.16045_30002;VESTIDO MIDI ESTAMPA GIZ                ;VESTIDO;VESTIDO;796;4;COM FOTO;ATIVO NO SITE;0
LOJA 01;29.15318_04035;CASACO TRICOT TRAMA BICOLOR             ;CASACO / JAQUETA;CASACO;837;3;COM FOTO;ATIVO NO SITE;0
LOJA 01;29.15688_04065;TOP DETALHE ELASTICO                    ;BLUSA;TOP;207;3;COM FOTO;ATIVO NO SITE;0
LOJA 01;29.14142_741;BLUSA TRICOLOR ALCA JABOUR              ;BLUSA;BLUSA;327;3;COM FOTO;ATIVO NO SITE;0
LOJA 01;29.11394_1339;MACACAO FAIXA AMARRACAO                 ;MACACAO;MACACAO;717;3;COM FOTO;ATIVO NO SITE;0
LOJA 01;29.14156_04003;BLUSA LAISE BABADO                      ;BLUSA;BLUSA;387;3;COM FOTO;ATIVO NO SITE;0
LOJA 01;29.11665_00066;VESTIDO MIDI DECOTE ROLOTE              ;VESTIDO;VESTIDO;357;3;COM FOTO;DESATIVADO;FALTA DE PADRÃO NO TAMANHO
LOJA 01;29.15365_04067;MACACAO PANTACOURT ALCA TRANCA          ;MACACAO;MACACAO;477;3;COM FOTO;ATIVO NO SITE;0
LOJA 01;29.15804_0005;SHORT JEANS DESTROYED BLACK             ;BERMUDA /SHORT;SHORT;357;3;COM FOTO;DESATIVADO;FALTA DE PADRÃO NO TAMANHO
